2019-05-18T03:05:51.370444: step 1, loss 1.1063, acc 0.5
2019-05-18T03:05:55.538415: step 405, loss 0.0260469, acc 1
2019-05-18T03:05:55.546399: step 406, loss 0.016859, acc 1
2019-05-18T03:05:55.554416: step 407, loss 0.01687, acc 1
2019-05-18T03:05:55.562399: step 408, loss 0.019125, acc 1
2019-05-18T03:05:55.570398: step 409, loss 0.0258822, acc 1
2019-05-18T03:05:55.578398: step 410, loss 0.0209656, acc 1
2019-05-18T03:05:55.585398: step 411, loss 0.0224331, acc 1
2019-05-18T03:05:55.592397: step 412, loss 0.0270684, acc 1
2019-05-18T03:05:55.599398: step 413, loss 0.0241138, acc 1
2019-05-18T03:05:55.606397: step 414, loss 0.0239944, acc 1
2019-05-18T03:05:55.613397: step 415, loss 0.0222248, acc 1
2019-05-18T03:05:55.620396: step 416, loss 0.0270482, acc 1
2019-05-18T03:05:55.628396: step 417, loss 0.0220621, acc 1
2019-05-18T03:05:55.635396: step 418, loss 0.0203784, acc 1
2019-05-18T03:05:55.642397: step 419, loss 0.0233603, acc 1
2019-05-18T03:05:55.648396: step 420, loss 0.0250534, acc 1
2019-05-18T03:05:55.655396: step 421, loss 0.0241742, acc 1
2019-05-18T03:05:55.662396: step 422, loss 0.0239786, acc 1
2019-05-18T03:05:55.668395: step 423, loss 0.0241955, acc 1
2019-05-18T03:05:55.676395: step 424, loss 0.0201397, acc 1
2019-05-18T03:05:55.683395: step 425, loss 0.0203338, acc 1
2019-05-18T03:05:55.690395: step 426, loss 0.0222438, acc 1
2019-05-18T03:05:55.698395: step 427, loss 0.0199213, acc 1
2019-05-18T03:05:55.705395: step 428, loss 0.0252702, acc 1
2019-05-18T03:05:55.713394: step 429, loss 0.0233159, acc 1
2019-05-18T03:05:55.724393: step 430, loss 0.0187877, acc 1
2019-05-18T03:05:55.734393: step 431, loss 0.0225212, acc 1
2019-05-18T03:05:55.744394: step 432, loss 0.0223772, acc 1
2019-05-18T03:05:55.752392: step 433, loss 0.0188867, acc 1
2019-05-18T03:05:55.761393: step 434, loss 0.017455, acc 1
2019-05-18T03:05:55.770392: step 435, loss 0.0213946, acc 1
2019-05-18T03:05:55.778394: step 436, loss 0.0204534, acc 1
2019-05-18T03:05:55.785391: step 437, loss 0.0252796, acc 1
2019-05-18T03:05:55.793392: step 438, loss 0.0209845, acc 1
2019-05-18T03:05:55.800391: step 439, loss 0.0188474, acc 1
2019-05-18T03:05:55.808391: step 440, loss 0.0219018, acc 1
2019-05-18T03:05:55.815390: step 441, loss 0.0237536, acc 1
2019-05-18T03:05:55.822391: step 442, loss 0.0217717, acc 1
2019-05-18T03:05:55.829391: step 443, loss 0.0201601, acc 1
2019-05-18T03:05:55.836390: step 444, loss 0.0175772, acc 1
2019-05-18T03:05:55.843390: step 445, loss 0.0203082, acc 1
2019-05-18T03:05:55.850390: step 446, loss 0.0201718, acc 1
2019-05-18T03:05:55.856389: step 447, loss 0.0226245, acc 1
2019-05-18T03:05:55.862389: step 448, loss 0.0164428, acc 1
2019-05-18T03:05:55.870389: step 449, loss 0.0183062, acc 1
2019-05-18T03:05:55.877389: step 450, loss 0.0191305, acc 1
2019-05-18T03:05:55.884389: step 451, loss 0.0209677, acc 1
2019-05-18T03:05:55.891388: step 452, loss 0.0197257, acc 1
2019-05-18T03:05:55.897388: step 453, loss 0.0230482, acc 1
2019-05-18T03:05:55.904389: step 454, loss 0.0197888, acc 1
2019-05-18T03:05:55.918388: step 455, loss 0.0221889, acc 1
2019-05-18T03:05:55.925388: step 456, loss 0.0200819, acc 1
2019-05-18T03:05:55.934387: step 457, loss 0.0170944, acc 1
2019-05-18T03:05:55.945388: step 458, loss 0.0150543, acc 1
2019-05-18T03:05:55.952388: step 459, loss 0.0207831, acc 1
2019-05-18T03:05:55.960386: step 460, loss 0.0210091, acc 1
2019-05-18T03:05:55.969387: step 461, loss 0.0250261, acc 1
2019-05-18T03:05:55.975388: step 462, loss 0.0199161, acc 1
2019-05-18T03:05:55.982385: step 463, loss 0.0207631, acc 1
2019-05-18T03:05:55.990386: step 464, loss 0.0192637, acc 1
2019-05-18T03:05:55.996385: step 465, loss 0.0206967, acc 1
2019-05-18T03:05:56.004386: step 466, loss 0.0184877, acc 1
2019-05-18T03:05:56.012387: step 467, loss 0.0167791, acc 1
2019-05-18T03:05:56.019384: step 468, loss 0.0202053, acc 1
2019-05-18T03:05:56.027384: step 469, loss 0.0258366, acc 1
2019-05-18T03:05:56.033384: step 470, loss 0.0240602, acc 1
2019-05-18T03:05:56.040384: step 471, loss 0.0161254, acc 1
2019-05-18T03:05:56.047383: step 472, loss 0.0182213, acc 1
2019-05-18T03:05:56.054383: step 473, loss 0.0206124, acc 1
2019-05-18T03:05:56.061383: step 474, loss 0.0177033, acc 1
2019-05-18T03:05:56.068383: step 475, loss 0.0161152, acc 1
2019-05-18T03:05:56.075383: step 476, loss 0.01776, acc 1
2019-05-18T03:05:56.082382: step 477, loss 0.0178545, acc 1
2019-05-18T03:05:56.089382: step 478, loss 0.0189333, acc 1
2019-05-18T03:05:56.096382: step 479, loss 0.01919, acc 1
2019-05-18T03:05:56.103382: step 480, loss 0.018136, acc 1
2019-05-18T03:05:56.110381: step 481, loss 0.0162982, acc 1
2019-05-18T03:05:56.120381: step 482, loss 0.0179247, acc 1
2019-05-18T03:05:56.127382: step 483, loss 0.0212516, acc 1
2019-05-18T03:05:56.134382: step 484, loss 0.0171456, acc 1
2019-05-18T03:05:56.144381: step 485, loss 0.0167529, acc 1
2019-05-18T03:05:56.154380: step 486, loss 0.0209008, acc 1
2019-05-18T03:05:56.163381: step 487, loss 0.0213389, acc 1
2019-05-18T03:05:56.171380: step 488, loss 0.0195899, acc 1
2019-05-18T03:05:56.180379: step 489, loss 0.0148616, acc 1
2019-05-18T03:05:56.188380: step 490, loss 0.0241754, acc 1
2019-05-18T03:05:56.196379: step 491, loss 0.0237912, acc 1
2019-05-18T03:05:56.205379: step 492, loss 0.0199662, acc 1
2019-05-18T03:05:56.214379: step 493, loss 0.0194812, acc 1
2019-05-18T03:05:56.222378: step 494, loss 0.0200787, acc 1
2019-05-18T03:05:56.230378: step 495, loss 0.0190416, acc 1
2019-05-18T03:05:56.238378: step 496, loss 0.0185115, acc 1
2019-05-18T03:05:56.245377: step 497, loss 0.0234206, acc 1
2019-05-18T03:05:56.252377: step 498, loss 0.0154125, acc 1
2019-05-18T03:05:56.260377: step 499, loss 0.0142802, acc 1
2019-05-18T03:05:56.268377: step 500, loss 0.0163648, acc 1

Evaluation:
2019-05-18T03:05:56.269377: step 500, loss 0.0115532, acc 1

Saved model checkpoint to C:\Users\micha\PycharmProjects\untitled\runs\1558116350\checkpoints\model-500

2019-05-18T03:05:56.357375: step 501, loss 0.0166809, acc 1
2019-05-18T03:05:56.366375: step 502, loss 0.017923, acc 1
2019-05-18T03:05:56.374374: step 503, loss 0.0169439, acc 1
2019-05-18T03:05:56.383374: step 504, loss 0.0182822, acc 1
2019-05-18T03:05:56.394373: step 505, loss 0.0222338, acc 1
2019-05-18T03:05:56.404373: step 506, loss 0.0185211, acc 1
2019-05-18T03:05:56.413374: step 507, loss 0.0197862, acc 1
2019-05-18T03:05:56.420373: step 508, loss 0.0203528, acc 1
2019-05-18T03:05:56.428372: step 509, loss 0.0186454, acc 1
2019-05-18T03:05:56.435372: step 510, loss 0.0174167, acc 1
2019-05-18T03:05:56.443371: step 511, loss 0.018096, acc 1
2019-05-18T03:05:56.450371: step 512, loss 0.0198257, acc 1
2019-05-18T03:05:56.457371: step 513, loss 0.0165081, acc 1
2019-05-18T03:05:56.464371: step 514, loss 0.0141159, acc 1
2019-05-18T03:05:56.471275: step 515, loss 0.0182174, acc 1
2019-05-18T03:05:56.478274: step 516, loss 0.0169491, acc 1
2019-05-18T03:05:56.485275: step 517, loss 0.0147811, acc 1
2019-05-18T03:05:56.492274: step 518, loss 0.0180209, acc 1
2019-05-18T03:05:56.499273: step 519, loss 0.0205431, acc 1
2019-05-18T03:05:56.506273: step 520, loss 0.0159623, acc 1
2019-05-18T03:05:56.513273: step 521, loss 0.0189598, acc 1
2019-05-18T03:05:56.520273: step 522, loss 0.0173516, acc 1
2019-05-18T03:05:56.527273: step 523, loss 0.0187077, acc 1
2019-05-18T03:05:56.534272: step 524, loss 0.0153025, acc 1
2019-05-18T03:05:56.541272: step 525, loss 0.0194643, acc 1
2019-05-18T03:05:56.549273: step 526, loss 0.0134791, acc 1
2019-05-18T03:05:56.558272: step 527, loss 0.0182086, acc 1
2019-05-18T03:05:56.565300: step 528, loss 0.0148138, acc 1
2019-05-18T03:05:56.573282: step 529, loss 0.0174289, acc 1
2019-05-18T03:05:56.580281: step 530, loss 0.0173643, acc 1
2019-05-18T03:05:56.587281: step 531, loss 0.0159331, acc 1
2019-05-18T03:05:56.596281: step 532, loss 0.0201467, acc 1
2019-05-18T03:05:56.603281: step 533, loss 0.0200913, acc 1
2019-05-18T03:05:56.611280: step 534, loss 0.01418, acc 1
2019-05-18T03:05:56.619280: step 535, loss 0.0197851, acc 1
2019-05-18T03:05:56.627280: step 536, loss 0.0180755, acc 1
2019-05-18T03:05:56.635280: step 537, loss 0.0169764, acc 1
2019-05-18T03:05:56.643280: step 538, loss 0.0137177, acc 1
2019-05-18T03:05:56.650279: step 539, loss 0.0131932, acc 1
2019-05-18T03:05:56.658279: step 540, loss 0.0169308, acc 1
2019-05-18T03:05:56.665278: step 541, loss 0.0157406, acc 1
2019-05-18T03:05:56.672279: step 542, loss 0.0197876, acc 1
2019-05-18T03:05:56.680278: step 543, loss 0.0147958, acc 1
2019-05-18T03:05:56.687278: step 544, loss 0.0179356, acc 1
2019-05-18T03:05:56.694277: step 545, loss 0.0152202, acc 1
2019-05-18T03:05:56.701277: step 546, loss 0.0213684, acc 1
2019-05-18T03:05:56.708277: step 547, loss 0.0184416, acc 1
2019-05-18T03:05:56.715278: step 548, loss 0.0189536, acc 1
2019-05-18T03:05:56.722277: step 549, loss 0.0161529, acc 1
2019-05-18T03:05:56.728276: step 550, loss 0.0196865, acc 1
2019-05-18T03:05:56.735277: step 551, loss 0.0144448, acc 1
2019-05-18T03:05:56.742276: step 552, loss 0.0154918, acc 1
2019-05-18T03:05:56.749276: step 553, loss 0.0142744, acc 1
2019-05-18T03:05:56.757277: step 554, loss 0.0164756, acc 1
2019-05-18T03:05:56.766275: step 555, loss 0.0176464, acc 1
2019-05-18T03:05:56.774276: step 556, loss 0.0190911, acc 1
2019-05-18T03:05:56.782277: step 557, loss 0.0184726, acc 1
2019-05-18T03:05:56.790277: step 558, loss 0.0129501, acc 1
2019-05-18T03:05:56.799274: step 559, loss 0.01508, acc 1
2019-05-18T03:05:56.805276: step 560, loss 0.0155721, acc 1
2019-05-18T03:05:56.813274: step 561, loss 0.0182654, acc 1
2019-05-18T03:05:56.822273: step 562, loss 0.0146999, acc 1
2019-05-18T03:05:56.830274: step 563, loss 0.0168672, acc 1
2019-05-18T03:05:56.837273: step 564, loss 0.0176482, acc 1
2019-05-18T03:05:56.845273: step 565, loss 0.0146106, acc 1
2019-05-18T03:05:56.852272: step 566, loss 0.0129833, acc 1
2019-05-18T03:05:56.860272: step 567, loss 0.0135235, acc 1
2019-05-18T03:05:56.867272: step 568, loss 0.0190156, acc 1
2019-05-18T03:05:56.874272: step 569, loss 0.0157813, acc 1
2019-05-18T03:05:56.882272: step 570, loss 0.0170916, acc 1
2019-05-18T03:05:56.889271: step 571, loss 0.0183294, acc 1
2019-05-18T03:05:56.896271: step 572, loss 0.0147958, acc 1
2019-05-18T03:05:56.903271: step 573, loss 0.0164019, acc 1
2019-05-18T03:05:56.910271: step 574, loss 0.0175516, acc 1
2019-05-18T03:05:56.917270: step 575, loss 0.0146471, acc 1
2019-05-18T03:05:56.925271: step 576, loss 0.014578, acc 1
2019-05-18T03:05:56.932270: step 577, loss 0.0140422, acc 1
2019-05-18T03:05:56.939270: step 578, loss 0.0193985, acc 1
2019-05-18T03:05:56.946269: step 579, loss 0.0212683, acc 1
2019-05-18T03:05:56.953270: step 580, loss 0.0139079, acc 1
2019-05-18T03:05:56.964270: step 581, loss 0.0161625, acc 1
2019-05-18T03:05:56.974269: step 582, loss 0.0172942, acc 1
2019-05-18T03:05:56.985269: step 583, loss 0.017458, acc 1
2019-05-18T03:05:56.996269: step 584, loss 0.0167523, acc 1
2019-05-18T03:05:57.005270: step 585, loss 0.0145121, acc 1
2019-05-18T03:05:57.016268: step 586, loss 0.0156041, acc 1
2019-05-18T03:05:57.027268: step 587, loss 0.0141808, acc 1
2019-05-18T03:05:57.036267: step 588, loss 0.0129757, acc 1
2019-05-18T03:05:57.044266: step 589, loss 0.0129843, acc 1
2019-05-18T03:05:57.053267: step 590, loss 0.0157349, acc 1
2019-05-18T03:05:57.063266: step 591, loss 0.015058, acc 1
2019-05-18T03:05:57.070275: step 592, loss 0.0147885, acc 1
2019-05-18T03:05:57.078274: step 593, loss 0.0190974, acc 1
2019-05-18T03:05:57.086274: step 594, loss 0.0114426, acc 1
2019-05-18T03:05:57.095274: step 595, loss 0.0143388, acc 1
2019-05-18T03:05:57.103275: step 596, loss 0.0159393, acc 1
2019-05-18T03:05:57.111274: step 597, loss 0.0149142, acc 1
2019-05-18T03:05:57.120274: step 598, loss 0.0135482, acc 1
2019-05-18T03:05:57.128273: step 599, loss 0.0149487, acc 1
2019-05-18T03:05:57.137273: step 600, loss 0.0160022, acc 1

Evaluation:
2019-05-18T03:05:57.140274: step 600, loss 0.00941589, acc 1

WARNING:tensorflow:From C:\Users\micha\AppData\Local\Programs\Python\Python37\lib\site-packages\tensorflow\python\training\saver.py:966: remove_checkpoint (from tensorflow.python.training.checkpoint_management) is deprecated and will be removed in a future version.
Instructions for updating:
Use standard file APIs to delete files with this prefix.
Saved model checkpoint to C:\Users\micha\PycharmProjects\untitled\runs\1558116350\checkpoints\model-600

2019-05-18T03:05:57.245270: step 601, loss 0.020471, acc 1
2019-05-18T03:05:57.253269: step 602, loss 0.0196022, acc 1
2019-05-18T03:05:57.263269: step 603, loss 0.0134606, acc 1
2019-05-18T03:05:57.271269: step 604, loss 0.0146182, acc 1
2019-05-18T03:05:57.280269: step 605, loss 0.0158073, acc 1
2019-05-18T03:05:57.287268: step 606, loss 0.0160791, acc 1
2019-05-18T03:05:57.294268: step 607, loss 0.0129027, acc 1
2019-05-18T03:05:57.301267: step 608, loss 0.0117954, acc 1
2019-05-18T03:05:57.308267: step 609, loss 0.0166278, acc 1
2019-05-18T03:05:57.315267: step 610, loss 0.0230948, acc 1
2019-05-18T03:05:57.323267: step 611, loss 0.0165035, acc 1
2019-05-18T03:05:57.330266: step 612, loss 0.0145283, acc 1
2019-05-18T03:05:57.337267: step 613, loss 0.0106198, acc 1
2019-05-18T03:05:57.343266: step 614, loss 0.0174462, acc 1
2019-05-18T03:05:57.351266: step 615, loss 0.0120225, acc 1
2019-05-18T03:05:57.357266: step 616, loss 0.0189769, acc 1
2019-05-18T03:05:57.364265: step 617, loss 0.01865, acc 1
2019-05-18T03:05:57.371450: step 618, loss 0.015173, acc 1
2019-05-18T03:05:57.378449: step 619, loss 0.0142719, acc 1
2019-05-18T03:05:57.388450: step 620, loss 0.0127864, acc 1
2019-05-18T03:05:57.395449: step 621, loss 0.0150159, acc 1
2019-05-18T03:05:57.403448: step 622, loss 0.0130106, acc 1
2019-05-18T03:05:57.411449: step 623, loss 0.0140276, acc 1
2019-05-18T03:05:57.418448: step 624, loss 0.0150147, acc 1
2019-05-18T03:05:57.427448: step 625, loss 0.013108, acc 1
2019-05-18T03:05:57.434449: step 626, loss 0.0171514, acc 1
2019-05-18T03:05:57.441447: step 627, loss 0.0171698, acc 1
2019-05-18T03:05:57.448447: step 628, loss 0.01326, acc 1
2019-05-18T03:05:57.456447: step 629, loss 0.0170256, acc 1
2019-05-18T03:05:57.464447: step 630, loss 0.0165747, acc 1
2019-05-18T03:05:57.471446: step 631, loss 0.0117114, acc 1
2019-05-18T03:05:57.479446: step 632, loss 0.0123227, acc 1
2019-05-18T03:05:57.487446: step 633, loss 0.0180019, acc 1
2019-05-18T03:05:57.494447: step 634, loss 0.0145244, acc 1
2019-05-18T03:05:57.502446: step 635, loss 0.0157964, acc 1
2019-05-18T03:05:57.509445: step 636, loss 0.018936, acc 1
2019-05-18T03:05:57.516445: step 637, loss 0.0163796, acc 1
2019-05-18T03:05:57.523445: step 638, loss 0.0125707, acc 1
2019-05-18T03:05:57.530445: step 639, loss 0.0126344, acc 1
2019-05-18T03:05:57.537444: step 640, loss 0.014024, acc 1
2019-05-18T03:05:57.544445: step 641, loss 0.014689, acc 1
2019-05-18T03:05:57.551444: step 642, loss 0.0129261, acc 1
2019-05-18T03:05:57.558444: step 643, loss 0.0169345, acc 1
2019-05-18T03:05:57.564443: step 644, loss 0.0137941, acc 1
2019-05-18T03:05:57.571443: step 645, loss 0.0121159, acc 1
2019-05-18T03:05:57.578443: step 646, loss 0.0142276, acc 1
2019-05-18T03:05:57.585443: step 647, loss 0.0145587, acc 1
2019-05-18T03:05:57.592443: step 648, loss 0.0128389, acc 1
2019-05-18T03:05:57.602443: step 649, loss 0.0130827, acc 1
2019-05-18T03:05:57.610445: step 650, loss 0.0156693, acc 1
2019-05-18T03:05:57.618441: step 651, loss 0.0120077, acc 1
2019-05-18T03:05:57.627441: step 652, loss 0.0157489, acc 1
2019-05-18T03:05:57.633441: step 653, loss 0.0154459, acc 1
2019-05-18T03:05:57.641441: step 654, loss 0.0194762, acc 1
2019-05-18T03:05:57.649441: step 655, loss 0.0162246, acc 1
2019-05-18T03:05:57.656441: step 656, loss 0.0128533, acc 1
2019-05-18T03:05:57.665441: step 657, loss 0.0172773, acc 1
2019-05-18T03:05:57.671440: step 658, loss 0.0105942, acc 1
2019-05-18T03:05:57.679440: step 659, loss 0.0132391, acc 1
2019-05-18T03:05:57.687440: step 660, loss 0.0129312, acc 1
2019-05-18T03:05:57.695440: step 661, loss 0.0128928, acc 1
2019-05-18T03:05:57.702439: step 662, loss 0.0143008, acc 1
2019-05-18T03:05:57.710439: step 663, loss 0.0145884, acc 1
2019-05-18T03:05:57.717438: step 664, loss 0.0200453, acc 1
2019-05-18T03:05:57.725439: step 665, loss 0.0142085, acc 1
2019-05-18T03:05:57.732438: step 666, loss 0.0148441, acc 1
2019-05-18T03:05:57.739438: step 667, loss 0.0137949, acc 1
2019-05-18T03:05:57.746437: step 668, loss 0.0136703, acc 1
2019-05-18T03:05:57.753437: step 669, loss 0.0149559, acc 1
2019-05-18T03:05:57.761437: step 670, loss 0.0139334, acc 1
2019-05-18T03:05:57.768437: step 671, loss 0.0164862, acc 1
2019-05-18T03:05:57.775437: step 672, loss 0.0125098, acc 1
2019-05-18T03:05:57.782437: step 673, loss 0.0172359, acc 1
2019-05-18T03:05:57.789436: step 674, loss 0.0134399, acc 1
2019-05-18T03:05:57.796436: step 675, loss 0.0112608, acc 1
2019-05-18T03:05:57.803436: step 676, loss 0.0167467, acc 1
2019-05-18T03:05:57.811437: step 677, loss 0.0114918, acc 1
2019-05-18T03:05:57.818436: step 678, loss 0.0156768, acc 1
2019-05-18T03:05:57.827435: step 679, loss 0.0124555, acc 1
2019-05-18T03:05:57.835436: step 680, loss 0.0138566, acc 1
2019-05-18T03:05:57.844436: step 681, loss 0.0116817, acc 1
2019-05-18T03:05:57.851435: step 682, loss 0.0145268, acc 1
2019-05-18T03:05:57.858434: step 683, loss 0.0133817, acc 1
2019-05-18T03:05:57.867434: step 684, loss 0.0127168, acc 1
2019-05-18T03:05:57.874435: step 685, loss 0.016737, acc 1
2019-05-18T03:05:57.881434: step 686, loss 0.0131604, acc 1
2019-05-18T03:05:57.889434: step 687, loss 0.0136021, acc 1
2019-05-18T03:05:57.897433: step 688, loss 0.016019, acc 1
2019-05-18T03:05:57.905433: step 689, loss 0.0114331, acc 1
2019-05-18T03:05:57.913432: step 690, loss 0.0158598, acc 1
2019-05-18T03:05:57.920433: step 691, loss 0.013382, acc 1
2019-05-18T03:05:57.927432: step 692, loss 0.014354, acc 1
2019-05-18T03:05:57.934433: step 693, loss 0.0165121, acc 1
2019-05-18T03:05:57.942432: step 694, loss 0.0130079, acc 1
2019-05-18T03:05:57.949431: step 695, loss 0.0157586, acc 1
2019-05-18T03:05:57.956432: step 696, loss 0.0111474, acc 1
2019-05-18T03:05:57.963431: step 697, loss 0.0118975, acc 1
2019-05-18T03:05:57.970431: step 698, loss 0.0127234, acc 1
2019-05-18T03:05:57.977431: step 699, loss 0.0132389, acc 1
2019-05-18T03:05:57.984433: step 700, loss 0.0145286, acc 1

Evaluation:
2019-05-18T03:05:57.986431: step 700, loss 0.0151624, acc 1

Saved model checkpoint to C:\Users\micha\PycharmProjects\untitled\runs\1558116350\checkpoints\model-700

2019-05-18T03:05:58.082429: step 701, loss 0.0142943, acc 1
2019-05-18T03:05:58.089427: step 702, loss 0.0142222, acc 1
2019-05-18T03:05:58.098428: step 703, loss 0.0114469, acc 1
2019-05-18T03:05:58.106429: step 704, loss 0.0117118, acc 1
2019-05-18T03:05:58.113426: step 705, loss 0.0161293, acc 1
2019-05-18T03:05:58.121426: step 706, loss 0.0132713, acc 1
2019-05-18T03:05:58.129426: step 707, loss 0.0125881, acc 1
2019-05-18T03:05:58.136426: step 708, loss 0.0115064, acc 1
2019-05-18T03:05:58.144426: step 709, loss 0.0132748, acc 1
2019-05-18T03:05:58.151425: step 710, loss 0.015645, acc 1
2019-05-18T03:05:58.159426: step 711, loss 0.0124655, acc 1
2019-05-18T03:05:58.166425: step 712, loss 0.0102842, acc 1
2019-05-18T03:05:58.173425: step 713, loss 0.0162026, acc 1
2019-05-18T03:05:58.180425: step 714, loss 0.0185346, acc 1
2019-05-18T03:05:58.187424: step 715, loss 0.0117379, acc 1
2019-05-18T03:05:58.194426: step 716, loss 0.010092, acc 1
2019-05-18T03:05:58.202424: step 717, loss 0.0121903, acc 1
2019-05-18T03:05:58.209424: step 718, loss 0.0112474, acc 1
2019-05-18T03:05:58.216423: step 719, loss 0.018105, acc 1
2019-05-18T03:05:58.223423: step 720, loss 0.0134454, acc 1
2019-05-18T03:05:58.231423: step 721, loss 0.0129704, acc 1
2019-05-18T03:05:58.237422: step 722, loss 0.00949017, acc 1
2019-05-18T03:05:58.245422: step 723, loss 0.0126622, acc 1
2019-05-18T03:05:58.252422: step 724, loss 0.0141872, acc 1
2019-05-18T03:05:58.259422: step 725, loss 0.0149416, acc 1
2019-05-18T03:05:58.266422: step 726, loss 0.0159435, acc 1
2019-05-18T03:05:58.273422: step 727, loss 0.0163272, acc 1
2019-05-18T03:05:58.280422: step 728, loss 0.0155284, acc 1
2019-05-18T03:05:58.288421: step 729, loss 0.0182573, acc 1
2019-05-18T03:05:58.295421: step 730, loss 0.0143147, acc 1
2019-05-18T03:05:58.302421: step 731, loss 0.0171092, acc 1
2019-05-18T03:05:58.312421: step 732, loss 0.0101099, acc 1
2019-05-18T03:05:58.319420: step 733, loss 0.0123218, acc 1
2019-05-18T03:05:58.327419: step 734, loss 0.0116034, acc 1
2019-05-18T03:05:58.335419: step 735, loss 0.0125642, acc 1
2019-05-18T03:05:58.343420: step 736, loss 0.0153792, acc 1
2019-05-18T03:05:58.350419: step 737, loss 0.0121199, acc 1
2019-05-18T03:05:58.359419: step 738, loss 0.0112427, acc 1
2019-05-18T03:05:58.366419: step 739, loss 0.0136876, acc 1
2019-05-18T03:05:58.374419: step 740, loss 0.0141152, acc 1
2019-05-18T03:05:58.382418: step 741, loss 0.0117395, acc 1
2019-05-18T03:05:58.389418: step 742, loss 0.0123197, acc 1
2019-05-18T03:05:58.396418: step 743, loss 0.0145932, acc 1
2019-05-18T03:05:58.403417: step 744, loss 0.0139715, acc 1
2019-05-18T03:05:58.411417: step 745, loss 0.01491, acc 1
2019-05-18T03:05:58.418416: step 746, loss 0.0143333, acc 1
2019-05-18T03:05:58.425416: step 747, loss 0.0136691, acc 1
2019-05-18T03:05:58.433417: step 748, loss 0.0142257, acc 1
2019-05-18T03:05:58.439417: step 749, loss 0.0113483, acc 1
2019-05-18T03:05:58.446416: step 750, loss 0.0108995, acc 1
2019-05-18T03:05:58.453415: step 751, loss 0.0143744, acc 1
2019-05-18T03:05:58.460415: step 752, loss 0.0105577, acc 1
2019-05-18T03:05:58.467415: step 753, loss 0.016734, acc 1
2019-05-18T03:05:58.475415: step 754, loss 0.00990594, acc 1
2019-05-18T03:05:58.481415: step 755, loss 0.0116691, acc 1
2019-05-18T03:05:58.489415: step 756, loss 0.0117768, acc 1
2019-05-18T03:05:58.496415: step 757, loss 0.0127378, acc 1
2019-05-18T03:05:58.505415: step 758, loss 0.0118358, acc 1
2019-05-18T03:05:58.512414: step 759, loss 0.0138646, acc 1
2019-05-18T03:05:58.520414: step 760, loss 0.0125517, acc 1
2019-05-18T03:05:58.529414: step 761, loss 0.0113401, acc 1
2019-05-18T03:05:58.536414: step 762, loss 0.0132544, acc 1
2019-05-18T03:05:58.544414: step 763, loss 0.0139805, acc 1
2019-05-18T03:05:58.552413: step 764, loss 0.0136916, acc 1
2019-05-18T03:05:58.560413: step 765, loss 0.0122395, acc 1
2019-05-18T03:05:58.567412: step 766, loss 0.0122351, acc 1
2019-05-18T03:05:58.575413: step 767, loss 0.015301, acc 1
2019-05-18T03:05:58.582412: step 768, loss 0.0128801, acc 1
2019-05-18T03:05:58.590411: step 769, loss 0.0122867, acc 1
2019-05-18T03:05:58.597411: step 770, loss 0.0131331, acc 1
2019-05-18T03:05:58.604412: step 771, loss 0.0145999, acc 1
2019-05-18T03:05:58.611411: step 772, loss 0.00993917, acc 1
2019-05-18T03:05:58.618411: step 773, loss 0.0173683, acc 1
2019-05-18T03:05:58.625411: step 774, loss 0.0124947, acc 1
2019-05-18T03:05:58.633410: step 775, loss 0.0113792, acc 1
2019-05-18T03:05:58.639410: step 776, loss 0.0093969, acc 1
2019-05-18T03:05:58.646409: step 777, loss 0.0134249, acc 1
2019-05-18T03:05:58.653410: step 778, loss 0.0125509, acc 1
2019-05-18T03:05:58.660409: step 779, loss 0.0142662, acc 1
2019-05-18T03:05:58.667409: step 780, loss 0.0109053, acc 1
2019-05-18T03:05:58.674410: step 781, loss 0.0159007, acc 1
2019-05-18T03:05:58.681409: step 782, loss 0.0117294, acc 1
2019-05-18T03:05:58.689410: step 783, loss 0.0143982, acc 1
2019-05-18T03:05:58.700409: step 784, loss 0.0101717, acc 1
2019-05-18T03:05:58.713409: step 785, loss 0.0114329, acc 1
2019-05-18T03:05:58.722408: step 786, loss 0.011121, acc 1
2019-05-18T03:05:58.733408: step 787, loss 0.0128035, acc 1
2019-05-18T03:05:58.743406: step 788, loss 0.0145817, acc 1
2019-05-18T03:05:58.751407: step 789, loss 0.0131757, acc 1
2019-05-18T03:05:58.760406: step 790, loss 0.0132618, acc 1
2019-05-18T03:05:58.770406: step 791, loss 0.01266, acc 1
2019-05-18T03:05:58.780407: step 792, loss 0.012903, acc 1
2019-05-18T03:05:58.787405: step 793, loss 0.0121276, acc 1
2019-05-18T03:05:58.796405: step 794, loss 0.0124562, acc 1
2019-05-18T03:05:58.804405: step 795, loss 0.0116483, acc 1
2019-05-18T03:05:58.812404: step 796, loss 0.0150681, acc 1
2019-05-18T03:05:58.819404: step 797, loss 0.0119597, acc 1
2019-05-18T03:05:58.826404: step 798, loss 0.0111506, acc 1
2019-05-18T03:05:58.833404: step 799, loss 0.0141651, acc 1
2019-05-18T03:05:58.840404: step 800, loss 0.0127581, acc 1

Evaluation:
2019-05-18T03:05:58.842406: step 800, loss 0.00777336, acc 1

Saved model checkpoint to C:\Users\micha\PycharmProjects\untitled\runs\1558116350\checkpoints\model-800

